task_id,fuzzing_duration,timestamp,offsets,execution_num,crash_num,time
1,86401,2025-05-30T20:16:50.758623+00:00,263528,18107,4,19979000.0
1,86401,2025-05-30T20:16:50.758623+00:00,263563,18121,4,20554000.0
1,86401,2025-05-30T20:16:50.758623+00:00,"184144,184667,185886,184671",18622,4,20729000.0
1,86401,2025-05-30T20:16:50.758623+00:00,231169,18775,5,27497000.0
1,86401,2025-05-30T20:16:50.758623+00:00,263132,24484,5,31816000.0
1,86401,2025-05-30T20:16:50.758623+00:00,263919,27970,5,35689000.0
1,86401,2025-05-30T20:16:50.758623+00:00,192845,31020,5,46005000.0
1,86401,2025-05-30T20:16:50.758623+00:00,263533,38759,5,51636000.0
1,86401,2025-05-30T20:16:50.758623+00:00,263162,42848,5,51651000.0
1,86401,2025-05-30T20:16:50.758623+00:00,263518,42858,6,76958000.0
1,86401,2025-05-30T20:16:50.758623+00:00,187826,60195,6,
1,86400,2025-05-30T20:17:06.198548+00:00,,0,0,2000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"108001,108022,108069,108007,107948,75048,187032,75477,183847,74851,74986,108013,75006,108066,75013,108055,107651,108029,183808,107978,107994,181332,183870,107971,107888,183838,108036,108052",1,0,3000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"106926,106917",2,0,8000.0
1,86400,2025-05-30T20:17:06.198548+00:00,182082,6,0,9000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"263018,263024,262906,110554,262924,183968,263349,264286,262861,263066,183932,183989,262382,262531,183955,262338,264319,262917,262899,262880,263036,262919,262884,264148,183992",7,0,11000.0
1,86400,2025-05-30T20:17:06.198548+00:00,264069,10,0,13000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"261109,185473,191428,107955,191389,192799,107783,191312",12,0,14000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"184073,187056,184048,182522,185695,182504,182480,185986,185504,185654,185635,182541,185970,184018,184095,184080,182517,187077,182542,185596,187072,182497,185568,185957",13,0,19000.0
1,86400,2025-05-30T20:17:06.198548+00:00,192790,17,0,20000.0
1,86400,2025-05-30T20:17:06.198548+00:00,187343,18,0,21000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"192173,191367,192186,264249,192158,192202,191359,191333,110263,191323,192016,192023",19,0,24000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"185470,185426,185457",22,0,25000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"263800,184857",23,0,28000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"181408,264904",26,0,33000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"187613,187588",31,0,35000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"262785,262819,262809,262709,262729,262695,262720",33,0,39000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"185748,185799,185757",37,0,52000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"110146,100459,100440",50,0,57000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"263384,262936,262913,194176,263321,262976,262950",55,0,59000.0
1,86400,2025-05-30T20:17:06.198548+00:00,181663,57,0,64000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"192781,192776",62,0,76000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"185719,185914,186193,186251,186088,186186,186218,186198,186220,186163,186226,186171,185918,186357,186138,186079,186320,186316,185934,186038,186306,186179,186016,186272,186299,186868",74,0,80000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"188074,188069",78,0,82000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"261218,263099,263125,263118",80,0,106000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"262601,262841",104,0,109000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"263938,264043,263842,263876,263850",107,0,191000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"262743,262800",189,0,194000.0
1,86400,2025-05-30T20:17:06.198548+00:00,262688,192,0,401000.0
1,86400,2025-05-30T20:17:06.198548+00:00,109898,399,0,591000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"186506,186529,186550,186475,186407,186619,186482,186504,186455",587,0,656000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"231297,231315,231305",652,1,727000.0
1,86400,2025-05-30T20:17:06.198548+00:00,"187735,187710",723,1,1185000.0
